Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/system.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/system.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/system.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/monitoraggregatestates,GET,com.nokia.eda.system.v1alpha1.MonitorAggregateStateList,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/monitors,GET,com.nokia.eda.system.v1alpha1.MonitorList,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/monitorstates,GET,com.nokia.eda.system.v1alpha1.MonitorStateList,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitoraggregatestates,DELETE,com.nokia.eda.system.v1alpha1.MonitorAggregateStateList,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitoraggregatestates,GET,com.nokia.eda.system.v1alpha1.MonitorAggregateStateList,monitor_aggregate_state_list,true,true,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitoraggregatestates,POST,com.nokia.eda.system.v1alpha1.MonitorAggregateState,monitor_aggregate_state,true,false,true
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitoraggregatestates/_deleted,GET,com.nokia.eda.system.v1alpha1.MonitorAggregateState_DeletedResources,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitoraggregatestates/{name},DELETE,Status,monitor_aggregate_state,true,false,true
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitoraggregatestates/{name},GET,com.nokia.eda.system.v1alpha1.MonitorAggregateState,monitor_aggregate_state,true,true,true
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitoraggregatestates/{name},PATCH,Patch,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitoraggregatestates/{name},PUT,com.nokia.eda.system.v1alpha1.MonitorAggregateState,monitor_aggregate_state,true,false,true
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitoraggregatestates/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitoraggregatestates/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitors,DELETE,com.nokia.eda.system.v1alpha1.MonitorList,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitors,GET,com.nokia.eda.system.v1alpha1.MonitorList,monitor_list,true,true,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitors,POST,com.nokia.eda.system.v1alpha1.Monitor,monitor,true,false,true
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitors/_deleted,GET,com.nokia.eda.system.v1alpha1.Monitor_DeletedResources,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitors/{name},DELETE,Status,monitor,true,false,true
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitors/{name},GET,com.nokia.eda.system.v1alpha1.Monitor,monitor,true,true,true
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitors/{name},PATCH,Patch,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitors/{name},PUT,com.nokia.eda.system.v1alpha1.Monitor,monitor,true,false,true
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitors/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitors/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitorstates,DELETE,com.nokia.eda.system.v1alpha1.MonitorStateList,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitorstates,GET,com.nokia.eda.system.v1alpha1.MonitorStateList,monitor_state_list,true,true,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitorstates,POST,com.nokia.eda.system.v1alpha1.MonitorState,monitor_state,true,false,true
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitorstates/_deleted,GET,com.nokia.eda.system.v1alpha1.MonitorState_DeletedResources,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitorstates/{name},DELETE,Status,monitor_state,true,false,true
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitorstates/{name},GET,com.nokia.eda.system.v1alpha1.MonitorState,monitor_state,true,true,true
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitorstates/{name},PATCH,Patch,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitorstates/{name},PUT,com.nokia.eda.system.v1alpha1.MonitorState,monitor_state,true,false,true
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitorstates/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/system.eda.nokia.com/v1alpha1/namespaces/{namespace}/monitorstates/{name}/_topology,GET,ResourceTopology,,false,false,false
